(58.227.133.60:3310, 227.176.178.135:17712, 0) x 368
(254.28.112.105:26163, 237.19.103.56:24196, 0) x 198
(44.197.190.236:34643, 78.164.46.234:58815, 0) x 163
(138.54.191.187:26975, 114.46.191.144:32799, 0) x 111
(20.52.178.85:53923, 193.14.150.198:59044, 0) x 107
(82.158.41.148:4743, 172.122.50.201:48943, 0) x 97
(194.158.250.124:31049, 249.65.220.68:11212, 0) x 80
(22.216.207.71:58742, 242.223.184.91:51612, 0) x 61
(179.248.88.78:63665, 144.39.190.74:59444, 0) x 58
(71.84.160.19:49326, 112.221.169.78:35900, 0) x 57
(169.138.162.186:57253, 6.222.160.58:2653, 0) x 55
(82.176.92.74:18722, 166.72.58.43:61940, 0) x 54
(42.41.27.171:65031, 43.41.242.43:55986, 0) x 54
(181.158.189.7:59313, 84.252.252.177:12629, 0) x 53
(216.19.252.10:24027, 113.232.1.156:35933, 0) x 49
(14.181.108.10:29456, 151.175.155.122:22712, 0) x 42
(158.243.141.56:2440, 26.166.83.166:1908, 0) x 41
(53.30.190.95:41254, 191.195.192.156:64019, 0) x 34
(104.229.3.231:22945, 93.120.70.12:54081, 0) x 33
(235.225.9.34:51249, 208.147.142.213:32709, 0) x 33
(83.45.188.44:45682, 46.86.193.202:58824, 0) x 32
(164.182.40.174:39597, 138.186.1.144:47881, 0) x 32
(50.181.169.153:37482, 142.9.233.132:43801, 0) x 30
(7.55.203.219:14627, 147.158.239.230:53698, 0) x 30
(112.42.64.36:32314, 20.73.218.77:49309, 0) x 28
(2.62.241.24:9136, 123.119.216.137:31102, 0) x 27
(225.58.142.113:2855, 231.246.183.52:57468, 0) x 26
(18.182.178.68:61964, 179.158.238.59:39264, 0) x 26
(174.178.100.38:27782, 84.239.184.15:45533, 0) x 26
(242.120.1.53:38664, 18.33.37.231:11073, 0) x 25
(132.102.158.202:38540, 173.203.102.5:52740, 0) x 25
(121.17.5.210:64567, 172.153.243.63:9726, 0) x 24
(169.80.70.110:54820, 48.66.88.150:16882, 0) x 23
(46.122.189.106:6328, 119.128.53.55:55983, 0) x 22
(72.238.8.248:49435, 225.255.47.26:33896, 0) x 21
(88.137.163.138:10850, 236.195.79.228:52688, 0) x 21
(228.123.84.120:63444, 108.15.67.168:37884, 0) x 21
(240.46.145.3:8671, 77.64.79.11:2633, 0) x 21
(217.110.41.38:37826, 216.160.84.163:15442, 0) x 20
(223.114.200.198:41989, 233.80.148.215:51214, 0) x 20
(232.171.109.83:15077, 174.196.136.3:39279, 0) x 20
(160.47.64.87:57987, 57.72.82.173:11342, 0) x 19
(16.136.128.9:29344, 41.158.143.166:52521, 0) x 19
(60.155.207.134:12863, 162.148.254.43:31527, 0) x 18
(174.21.147.178:62822, 102.211.196.103:15192, 0) x 18
(156.220.173.104:23039, 23.138.32.1:15802, 0) x 18
(54.218.161.236:50231, 23.73.139.130:42096, 0) x 18
(82.84.230.212:36027, 6.93.203.28:23802, 0) x 17
(73.210.45.187:7789, 14.173.181.154:11429, 0) x 17
(223.97.196.40:46332, 22.95.179.232:43081, 0) x 17
(248.159.171.45:19533, 12.188.185.253:50002, 0) x 17
(6.131.6.24:23489, 57.114.178.18:37383, 0) x 17
(248.108.227.72:61388, 209.11.204.81:62672, 0) x 17
(120.120.194.201:62774, 69.65.178.102:2961, 0) x 16
(150.130.156.95:10339, 224.198.241.145:18116, 0) x 16
(121.186.104.142:26024, 118.243.35.110:28666, 0) x 16
(83.150.238.22:8141, 194.120.182.227:53141, 0) x 15
(229.158.202.238:22976, 199.66.210.86:28573, 0) x 15
(184.146.197.201:56643, 195.15.125.202:15148, 0) x 15
(177.0.6.135:45518, 94.100.33.218:17358, 0) x 14
(159.146.93.127:42753, 223.181.84.243:38188, 0) x 14
(88.166.134.7:24887, 60.75.81.30:17323, 0) x 14
(91.7.169.4:47576, 207.42.41.172:10980, 0) x 14
(243.201.236.187:54324, 97.76.145.11:23911, 0) x 14
(21.228.80.55:11380, 55.132.231.150:38098, 0) x 13
(77.7.180.205:51465, 53.133.91.252:45171, 0) x 13
(188.214.177.154:24578, 220.128.145.103:26449, 0) x 13
(129.230.254.242:24461, 99.0.22.62:23181, 0) x 13
(220.252.216.83:45751, 32.47.114.196:47562, 0) x 13
(121.175.173.18:18263, 121.13.76.89:41707, 0) x 13
(188.68.148.91:22483, 51.210.224.171:50523, 0) x 12
(36.96.31.238:60647, 168.220.179.176:3719, 0) x 12
(137.20.123.154:33140, 215.24.81.228:28542, 0) x 12
(81.112.168.78:40150, 216.118.138.183:37537, 0) x 12
(19.229.178.93:63751, 168.124.12.240:46613, 0) x 12
(171.94.47.130:32430, 231.140.186.122:6964, 0) x 12
(201.171.188.148:3428, 174.205.202.112:28491, 0) x 12
(223.133.252.30:28084, 165.190.89.220:62530, 0) x 11
(61.232.184.197:26622, 224.118.90.253:53039, 0) x 11
(70.178.66.136:29918, 178.126.100.177:50008, 0) x 11
(240.152.250.34:30456, 2.53.52.54:17098, 0) x 11
(103.136.44.43:13296, 207.249.61.74:30604, 0) x 11
(160.192.96.57:62586, 173.252.153.128:32442, 0) x 11
(99.48.1.139:961, 235.141.234.208:62553, 0) x 11
(217.185.135.104:55163, 210.42.183.36:8170, 0) x 11
(109.184.201.56:53890, 233.11.114.40:5290, 0) x 11
(79.19.233.246:39150, 65.176.56.64:42623, 0) x 11
(225.37.37.190:54069, 135.237.96.176:57593, 0) x 11
(15.249.21.161:2238, 131.155.49.240:50040, 0) x 11
(92.93.215.194:45743, 131.151.132.253:58341, 0) x 11
(30.120.239.69:1712, 70.65.132.97:55094, 0) x 11
(117.204.100.165:28167, 94.109.112.39:52283, 0) x 11
(126.220.139.213:6742, 180.11.106.153:42155, 0) x 10
(92.188.126.217:31972, 125.243.91.190:31706, 0) x 10
(136.192.20.31:38877, 198.181.192.17:32026, 0) x 10
(174.244.15.86:53119, 175.2.111.118:48437, 0) x 10
(67.81.249.91:65387, 183.139.118.249:38980, 0) x 10
(228.237.47.182:25271, 187.90.138.177:16474, 0) x 10
(165.23.246.193:26373, 30.194.191.150:24030, 0) x 10
(96.173.73.122:19500, 126.193.243.42:43053, 0) x 10
(17.99.91.122:17116, 43.236.167.250:25213, 0) x 10
(137.219.135.181:20785, 187.71.164.82:25546, 0) x 10
(203.144.127.43:10433, 226.11.184.107:42019, 0) x 10
(39.252.222.1:26807, 206.45.249.126:31966, 0) x 10
(180.80.150.165:53741, 254.14.13.189:7153, 0) x 9
(153.97.227.65:27826, 23.163.61.38:7322, 0) x 9
(127.183.77.29:47000, 207.15.239.110:51116, 0) x 9
(49.17.152.28:8199, 115.179.217.238:6645, 0) x 9
(90.19.132.36:61032, 193.226.203.217:48036, 0) x 9
(194.199.28.74:38869, 189.149.99.141:38306, 0) x 9
(216.198.53.129:55569, 64.233.136.142:11710, 0) x 9
(225.247.93.255:63953, 54.42.200.231:30996, 0) x 9
(186.190.22.211:1159, 173.169.9.159:51668, 0) x 9
(60.111.240.145:3365, 81.146.124.63:10568, 0) x 9
(122.49.69.95:33168, 88.92.28.238:26954, 0) x 9
(145.115.52.223:28987, 204.15.103.239:55716, 0) x 9
(164.203.41.130:44506, 162.36.64.90:54232, 0) x 9
(62.72.169.244:7247, 230.9.238.47:61728, 0) x 9
(196.21.239.130:55297, 13.33.36.58:33482, 0) x 9
(110.15.107.160:24560, 178.110.27.82:57889, 0) x 9
(11.90.169.28:43773, 84.212.54.65:40162, 0) x 9
(145.68.234.37:60126, 132.126.149.252:45817, 0) x 9
(90.73.106.232:29831, 50.239.9.184:47868, 0) x 9
(127.221.251.107:19558, 51.107.226.38:31020, 0) x 8
(76.38.72.65:61572, 24.76.224.32:32453, 0) x 8
(189.58.215.226:35537, 45.218.64.121:46140, 0) x 8
(169.28.232.223:34273, 167.93.171.205:6354, 0) x 8
(104.35.92.90:342, 144.0.90.236:203, 0) x 8
(146.134.16.211:41844, 176.25.129.243:21471, 0) x 8
(160.34.203.18:12495, 127.194.18.169:16948, 0) x 8
(144.110.232.187:12352, 163.118.139.253:31075, 0) x 8
(162.39.212.216:51080, 56.225.84.126:56191, 0) x 8
(2.185.105.2:18648, 82.94.206.92:45844, 0) x 8
(61.142.229.52:34544, 79.215.64.159:59582, 0) x 8
(21.160.1.230:64322, 201.196.240.183:9391, 0) x 8
(106.40.130.150:17454, 125.10.144.100:64015, 0) x 8
(69.16.222.43:60134, 14.187.107.148:11165, 0) x 8
(206.210.213.252:48477, 199.160.48.189:7393, 0) x 8
(229.81.80.175:63559, 216.205.165.86:52830, 0) x 8
(241.206.96.20:25582, 203.216.183.208:57906, 0) x 8
(56.62.10.210:35486, 237.104.82.65:17819, 0) x 8
(98.32.215.225:53279, 119.204.149.147:49703, 0) x 8
(109.135.18.135:48767, 19.94.151.133:60158, 0) x 7
(241.186.109.218:57878, 243.62.193.103:4485, 0) x 7
(138.149.171.221:40126, 182.196.27.0:54144, 0) x 7
(54.106.61.239:6780, 103.53.251.73:63527, 0) x 7
(175.201.52.15:4007, 123.225.31.97:13511, 0) x 7
(206.62.59.107:61372, 254.9.91.162:50864, 0) x 7
(161.32.227.150:35456, 174.155.208.89:49027, 0) x 7
(204.173.233.239:64730, 43.97.226.250:1814, 0) x 7
(81.99.104.159:47872, 150.136.180.131:27513, 0) x 7
(247.110.36.127:56272, 90.253.105.167:27681, 0) x 7
(251.180.43.77:43479, 175.154.5.245:51821, 0) x 7
(85.57.63.94:14233, 2.246.74.110:58175, 0) x 7
